move_id,name,type,category,power,accuracy,pp,priority,target,contact,status_effect,stat_effect,effect_description,source,source_url,category_gen1,damage_model,is_damaging,is_fixed_damage,is_ohko,multi_hit_min,multi_hit_max,two_turn,high_crit_ratio,recoil_fraction,drain_fraction,self_faints,standard_formula_power,mechanics_source,mechanics_source_url,raw_power_gen1,multi_hit_distribution,two_turn_description,special_rule
1,Absorb,Grass,Special,20.0,100.0,20,0,single_opponent,not_defined_in_gen1,,,Restores the user's HP by 1/2 of the damage inflicted on the target.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Special,standard_plus_drain,True,False,False,,,False,1,,0.5,False,20.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,20.0,,,
2,Acid,Poison,Physical,40.0,100.0,30,0,single_opponent,not_defined_in_gen1,,,Has a ~10% chance to lower the target's Defense by 1 stage.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,standard_formula,True,False,False,,,False,1,,,False,40.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,40.0,,,
3,Acid Armor,Poison,Physical,,,40,0,single_opponent,not_defined_in_gen1,,,Raises the user's Defense by 2 stages.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,status,False,False,False,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,
4,Agility,Psychic,Special,,,30,0,single_opponent,not_defined_in_gen1,,,Raises the user's Speed by 2 stages.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Special,status,False,False,False,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,
5,Amnesia,Psychic,Special,,,20,0,single_opponent,not_defined_in_gen1,,,Raises the user's Special by 2 stages.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Special,status,False,False,False,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,
6,Aurora Beam,Ice,Special,65.0,100.0,20,0,single_opponent,not_defined_in_gen1,,,Has a ~10% chance to lower the target's Attack by 1 stage.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Special,standard_formula,True,False,False,,,False,1,,,False,65.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,65.0,,,
7,Barrage,Normal,Physical,15.0,85.0,20,0,single_opponent,not_defined_in_gen1,,,"Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.",User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,multi_hit,True,False,False,2.0,5.0,False,1,,,False,15.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,15.0,2:3/8;3:3/8;4:1/8;5:1/8,,
8,Barrier,Psychic,Special,,,30,0,single_opponent,not_defined_in_gen1,,,Raises the user's Defense by 2 stages.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Special,status,False,False,False,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,
9,Bide,Normal,Physical,,,10,0,single_opponent,not_defined_in_gen1,,,The user absorbs all damage for 2-3 turns and then inflicts twice the absorbed damage on its target. This move ignores the target's type but still cannot hit Ghost-type Pokemon.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,bide,True,True,False,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,Absorb damage for 2-3 turns; release 2x absorbed damage; ignores type effectiveness but cannot hit Ghost in Gen I.
10,Bind,Normal,Physical,15.0,75.0,20,0,single_opponent,not_defined_in_gen1,,,"The user becomes uncontrollable and attacks for 2-5 consecutive turns; the target cannot make attacks of its own during this time, but it may switch out, use items or run away.",User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,standard_formula,True,False,False,,,False,1,,,False,15.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,15.0,,,
